1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
843,6.97170693595857E+016,2304,,1,4,-1,21102,3102,445,20,20,43211,45214,0,23370761,12391,6.97170693483397E+016,
842,6.97170687100977E+016,2304,,1,4,-1,21102,3102,343,20,20,43211,45214,0,23114247,1085,6.97170686150574E+016,
841,6.97170686529503E+016,2304,,1,4,-1,21102,3102,445,20,20,43211,45214,0,23370761,3943,6.97170686150574E+016,
840,6.97170684465906E+016,2304,,1,4,-1,21102,3102,343,20,20,43211,45214,0,23114247,13361,6.97170684054077E+016,
839,6.97170677460894E+016,2304,,1,4,-1,21102,3102,445,20,20,43211,45214,0,23370761,1909,6.97170676708147E+016,
838,6.97170676460028E+016,2304,,1,4,-1,19423,1423,445,20,20,43211,45214,0,23370758,16299,6.97170674631967E+016,
837,6.97170667914658E+016,2304,,1,4,-1,19423,1423,445,20,20,43211,45214,0,23370758,19531,6.97170666240737E+016,
836,6.97170657674265E+016,2304,,1,4,-1,21300,3300,445,20,20,43211,45214,0,23370755,17083,6.97170656793723E+016,
835,6.97170648718377E+016,2304,,1,4,-1,21300,3300,445,20,20,43211,45214,0,23370755,12982,6.97170642110382E+016,
834,6.97170641911546E+016,2304,,1,4,-1,21300,3300,446,20,20,43211,45214,0,23370753,7723,6.9717064105984E+016,
833,6.97170637860372E+016,2304,,1,4,-1,21300,3300,445,20,20,43211,45214,0,23370755,4317,6.97170636883886E+016,
832,6.97170635599643E+016,2304,,1,4,-1,21300,3300,191,20,20,43211,45214,0,23370241,70883,6.97170633727672E+016,
831,6.97170598436536E+016,2304,,1,4,-1,21300,3300,445,20,20,43211,45214,0,23370755,25653,6.97170597032755E+016,
830,6.97170584983831E+016,2304,,1,4,-1,21300,3300,343,20,20,43211,45214,0,23114241,252960,6.97170581288387E+016,
829,6.97170452360462E+016,2304,,1,4,-1,21300,3300,342,20,20,43211,45214,0,23114242,8106,6.97170450219008E+016,
828,6.97170448113205E+016,2304,,1,4,-1,21300,3300,377,20,20,43211,45214,0,23769345,18418,6.97170446015529E+016,
827,6.9717043845582E+016,2304,,1,4,-1,21300,3300,342,20,20,43211,45214,0,23114242,2361,6.9717043658752E+016,
826,6.97170437218501E+016,2304,,1,4,-1,21300,3300,343,20,20,43211,45214,0,23114241,2216,6.9717043658752E+016,
825,6.97170436057203E+016,2304,,1,4,-1,19423,1423,342,20,20,43211,45214,0,23114245,37006,6.97170434488402E+016,
824,6.97170416655401E+016,2304,,1,4,-1,19423,1423,342,20,20,43211,45214,0,23114245,5799,6.97170415620588E+016,
823,6.97170413615055E+016,2304,,1,4,-1,19423,1423,343,20,20,43211,45214,0,23114244,7941,6.97170411441357E+016,
822,6.97170409451684E+016,2304,,1,4,-1,19423,1423,342,20,20,43211,45214,0,23114245,51630,6.97170409319956E+016,
821,6.97170382379024E+016,2304,,1,4,-1,19423,1423,191,20,20,43211,45214,0,23370244,46052,6.97170382086472E+016,
820,6.97170358229271E+016,2304,,1,4,-1,19423,1423,342,20,20,43211,45214,0,23114245,3500,6.97170357978399E+016,
819,6.9717035640003E+016,2304,,1,4,-1,19423,1423,343,20,20,43211,45214,0,23114244,39293,6.9717035584127E+016,
818,6.97170335801803E+016,2304,,1,4,-1,19423,1423,191,20,20,43211,45214,0,23370244,1642,6.97170333845422E+016,
