Count,Timestamp,T,Band,ARFCN,PCI,PLMN Id,RSRP,RSRQ,RSSI,SINR,Info
1002,2022-02-24 14:53:07.638,Band 7 (IMT-E 2600),3300,300,43211,#ffff00 -90.23    Fair        ,#00d228 -11.63    Good        ,#00703c -61.81    Excellent   ,#ffffff 0,,
911,2022-02-24 14:41:37.318,Band 7 (IMT-E 2600),3300,132,43211,#ffff00 -94.02    Fair        ,#ffff00 -12.77    Fair        ,#00703c -64.45    Excellent   ,#ffffff 0,,
900,2022-02-24 18:08:29.334,Band 7 (IMT-E 2600),3300,189,43211,#00a032 -80.44    Very Good   ,#00d228 -10.89    Good        ,#00703c -52.54    Excellent   ,#ffffff 0,,
893,2022-02-24 14:58:19.309,Band 7 (IMT-E 2600),3300,419,43211,#00d228 -89.11    Good        ,#ffff00 -12.35    Fair        ,#00703c -61.16    Excellent   ,#ffffff 0,,
879,2022-02-24 16:46:37.189,Band 7 (IMT-E 2600),3300,133,43211,#00d228 -89.98    Good        ,#ffff00 -12.38    Fair        ,#00703c -61.6     Excellent   ,#ffffff 0,,
803,2022-02-24 14:58:23.210,Band 7 (IMT-E 2600),3300,440,43211,#ffff00 -90.85    Fair        ,#ffff00 -13.42    Fair        ,#00703c -61.47    Excellent   ,#ffffff 0,,
782,2022-02-24 18:09:51.247,Band 7 (IMT-E 2600),3300,96,43211,#00703c -78.47    Excellent   ,#00d228 -11.12    Good        ,#00703c -51       Excellent   ,#ffffff 0,,
740,2022-02-24 14:55:53.201,Band 7 (IMT-E 2600),3300,302,43211,#00a032 -82.65    Very Good   ,#00d228 -10.47    Good        ,#00703c -55.99    Excellent   ,#ffffff 0,,
703,2022-02-24 14:45:07.317,Band 7 (IMT-E 2600),3300,289,43211,#00d228 -85.57    Good        ,#ffff00 -12.25    Fair        ,#00703c -57.33    Excellent   ,#ffffff 0,,
639,2022-02-24 14:23:23.370,Band 7 (IMT-E 2600),3300,290,43211,#00a032 -80.72    Very Good   ,#00d228 -10.78    Good        ,#00703c -53.62    Excellent   ,#ffffff 0,,
636,2022-02-24 17:13:01.345,Band 7 (IMT-E 2600),3300,437,43211,#ffff00 -90.87    Fair        ,#ffff00 -12.03    Fair        ,#00703c -61.7     Excellent   ,#ffffff 0,,
615,2022-02-24 17:15:17.263,Band 7 (IMT-E 2600),3300,316,43211,#ffff00 -92       Fair        ,#ffff00 -13.93    Fair        ,#00703c -61.52    Excellent   ,#ffffff 0,,
613,2022-02-24 17:09:29.201,Band 7 (IMT-E 2600),3300,222,43211,#00d228 -85.76    Good        ,#ffaa00 -14.06    Poor        ,#00703c -54.55    Excellent   ,#ffffff 0,,
587,2022-02-24 14:54:45.281,Band 7 (IMT-E 2600),3300,411,43211,#00a032 -82.96    Very Good   ,#00d228 -11.7     Good        ,#00703c -54.79    Excellent   ,#ffffff 0,,
578,2022-02-24 12:56:27.463,Band 7 (IMT-E 2600),3300,438,43211,#00d228 -85.03    Good        ,#00d228 -11.29    Good        ,#00703c -57.4     Excellent   ,#ffffff 0,,
534,2022-02-24 14:44:01.634,Band 7 (IMT-E 2600),3300,50,43211,#00d228 -86.72    Good        ,#ffaa00 -14.68    Poor        ,#00703c -56.42    Excellent   ,#ffffff 0,,
